id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1146.435,RIBU ORANG,2017
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1709.994,RIBU ORANG,2017
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,1562.509,RIBU ORANG,2017
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,943.337,RIBU ORANG,2017
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2316.489,RIBU ORANG,2017
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,3500.023,RIBU ORANG,2017
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1666.51,RIBU ORANG,2017
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,395.098,RIBU ORANG,2017
208,32,JAWA BARAT,3271,KOTA BOGOR,1081.009,RIBU ORANG,2017
209,32,JAWA BARAT,3272,KOTA SUKABUMI,323.788,RIBU ORANG,2017
210,32,JAWA BARAT,3273,KOTA BANDUNG,2497.938,RIBU ORANG,2017
211,32,JAWA BARAT,3274,KOTA CIREBON,313.325,RIBU ORANG,2017
212,32,JAWA BARAT,3275,KOTA BEKASI,2859.63,RIBU ORANG,2017
213,32,JAWA BARAT,3276,KOTA DEPOK,2254.513,RIBU ORANG,2017
214,32,JAWA BARAT,3277,KOTA CIMAHI,601.099,RIBU ORANG,2017
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,661.404,RIBU ORANG,2017
216,32,JAWA BARAT,3279,KOTA BANJAR,182.388,RIBU ORANG,2017
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,5840.9,RIBU ORANG,2018
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2460.7,RIBU ORANG,2018
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2260.6,RIBU ORANG,2018
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3717.3,RIBU ORANG,2018
221,32,JAWA BARAT,3205,KABUPATEN GARUT,2606.4,RIBU ORANG,2018
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1751.3,RIBU ORANG,2018
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1188.6,RIBU ORANG,2018
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1074.5,RIBU ORANG,2018
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,2176.2,RIBU ORANG,2018
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1199.3,RIBU ORANG,2018
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1149.9,RIBU ORANG,2018
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1719.2,RIBU ORANG,2018
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,1579.0,RIBU ORANG,2018
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,953.4,RIBU ORANG,2018
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2336.0,RIBU ORANG,2018
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,3630.9,RIBU ORANG,2018
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1683.7,RIBU ORANG,2018
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,397.2,RIBU ORANG,2018
235,32,JAWA BARAT,3271,KOTA BOGOR,1096.8,RIBU ORANG,2018
236,32,JAWA BARAT,3272,KOTA SUKABUMI,326.3,RIBU ORANG,2018
237,32,JAWA BARAT,3273,KOTA BANDUNG,2503.7,RIBU ORANG,2018
238,32,JAWA BARAT,3274,KOTA CIREBON,316.3,RIBU ORANG,2018
239,32,JAWA BARAT,3275,KOTA BEKASI,2931.9,RIBU ORANG,2018
240,32,JAWA BARAT,3276,KOTA DEPOK,2330.3,RIBU ORANG,2018
241,32,JAWA BARAT,3277,KOTA CIMAHI,607.8,RIBU ORANG,2018
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,662.7,RIBU ORANG,2018
243,32,JAWA BARAT,3279,KOTA BANJAR,182.8,RIBU ORANG,2018
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,5965.4,RIBU ORANG,2019
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2466.3,RIBU ORANG,2019
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2263.1,RIBU ORANG,2019
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3775.3,RIBU ORANG,2019
248,32,JAWA BARAT,3205,KABUPATEN GARUT,2622.4,RIBU ORANG,2019
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1754.1,RIBU ORANG,2019
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1195.2,RIBU ORANG,2019
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1080.8,RIBU ORANG,2019
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,2192.9,RIBU ORANG,2019
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1205.0,RIBU ORANG,2019
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1152.4,RIBU ORANG,2019
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1728.5,RIBU ORANG,2019
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,1595.8,RIBU ORANG,2019
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,962.9,RIBU ORANG,2019
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2353.9,RIBU ORANG,2019
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,3763.9,RIBU ORANG,2019
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1699.9,RIBU ORANG,2019
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,399.3,RIBU ORANG,2019
262,32,JAWA BARAT,3271,KOTA BOGOR,1112.1,RIBU ORANG,2019
263,32,JAWA BARAT,3272,KOTA SUKABUMI,328.7,RIBU ORANG,2019
264,32,JAWA BARAT,3273,KOTA BANDUNG,2507.9,RIBU ORANG,2019
265,32,JAWA BARAT,3274,KOTA CIREBON,319.3,RIBU ORANG,2019
266,32,JAWA BARAT,3275,KOTA BEKASI,3003.9,RIBU ORANG,2019
267,32,JAWA BARAT,3276,KOTA DEPOK,2406.8,RIBU ORANG,2019
268,32,JAWA BARAT,3277,KOTA CIMAHI,614.3,RIBU ORANG,2019
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,663.5,RIBU ORANG,2019
270,32,JAWA BARAT,3279,KOTA BANJAR,183.1,RIBU ORANG,2019
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,5409.37,RIBU ORANG,2020
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2718.74,RIBU ORANG,2020
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2470.56,RIBU ORANG,2020
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3616.54,RIBU ORANG,2020
275,32,JAWA BARAT,3205,KABUPATEN GARUT,2577.35,RIBU ORANG,2020
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1861.06,RIBU ORANG,2020
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1226.05,RIBU ORANG,2020
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1162.59,RIBU ORANG,2020
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,2270.35,RIBU ORANG,2020
